college,code,title,credits,description,prereqs
CAS,CSC101,Introduction to Computer Systems and Applications,3,"Basics of computer hardware, software, networking; MS Office apps: Word, Excel, DB, presentations, web.", 
CAS,CSC132,Digital Logic,3,"Number systems, Boolean algebra, logic gates and simplification, sequential circuits, logic circuit design.","CSC101"
CAS,CSC140,Introduction to C Programming,3,"C basics: data types, bitwise ops, control flow, arrays, pointers, structs, I/O; binary number system.","CSC101"
CAS,CSC230,Object-Oriented Computing,3,"OOP fundamentals: encapsulation, inheritance, polymorphism, abstraction.","CSC140"
CAS,CSC231,Data Structure,3,"Stacks, queues, linked lists, trees/graphs; algorithm design and analysis over these structures.","CSC230"
CAS,CSC232,C++ for Programmers,3,"C++ focus: memory management, classes, polymorphism, overloading, templates, I/O, inheritance models.","CSC230"
CAS,CSC233,Python Programming,3,"Python fundamentals: variables, functions, conditionals, modules, common packages, lists/tuples/dicts.","CSC230"
CAS,CSC235,Programming in Visual C# for .NET Technology,3,"C# and .NET desktop apps; Windows Forms, CLR, ADO.NET, XML, web services.","CSC230"
CAS,CSC310,Open-Source Web Technologies / Web Design,3,"Web apps with open tools; HTML5/CSS3; forms, tables, multimedia, UI/business/db layers, deployment.","CSC231"
CAS,CSC311,Mobile Application Programming,3,"Mobile app fundamentals; device capabilities, OS differences, SDK-based development.","CSC231"
CAS,CSC312,ASP.NET Web Programming,3,"Web development with Microsoft ASP.NET and the .NET framework.","CSC235"
CAS,CSC313,Introduction to Artificial Intelligence,3,"Core AI problem-solving; ML algorithms and computational intelligence (fuzzy, evolutionary, soft computing).","CSC231"
CAS,CSC333,Machine Learning,3,"Intro to ML: supervised/unsupervised learning, clustering, classification, SVM, ANN, deep learning.","CSC313"
CAS,CSC334,Introduction to Computational Intelligence,3,"Fuzzy logic, evolutionary computation, soft computing; optimization, pattern recognition, decision making.","CSC335"
CAS,CSC335,Pattern Recognition,3,"Pattern recognition pipeline: features, Bayes decision rule, classification, probability, LDA, SVM.","CSC333"
CAS,CSC336,Data Mining,3,"Data acquisition/cleaning, modeling, classification, clustering, association analysis.","CSC335"
CAS,CSC337,Software Engineering,3,"SE fundamentals: processes, project management; engineering + CS to produce reliable software.","CSC230"
CAS,CSC343,Theory of Computation/Compiler,3,"Automata & formal languages from FSM to Turing machines; computability and languages.","CSC231"
CAS,CSC344,Statistical Methods for Data Scientists,3,"Bias-variance, CV, train/test error, subset selection, regularization; trees, bagging, RF, SVM, clustering, PCA.","CSC333;STA210"
CAS,CSC345,Introduction to Database,3,"Relational model, SQL, db programming; security, integrity, privacy; web DB applications.","CSC230"
CAS,CSC348,Scalable Data Systems,3,"Algorithms and systems for big data; planning/execution of classic and modern big-data systems.","CSC333"
CAS,CSC364,Computer Architecture,3,"Digital logic to architecture: assembly, addressing, ALU, I/O organization, memory mgmt, control unit.","CSC231;CSC343"
CAS,CSC421,Cloud Computing,3,"Foundations and programming tools for cloud computing concepts and development.","CSC445"
CAS,CSC422,Digital Image Processing,3,"2-D image processing: filtering, transforms, segmentation, morphology, denoising, features, registration.","MAT112;CSC231"
CAS,CSC444,Computer Vision,3,"Vision fundamentals: feature detection/matching/tracking, classification, clustering, (un)supervised DL.","CSC422"
CAS,CSC445,Introduction to Computer Networks,3,"Layered architectures, addressing/naming, forwarding/routing, reliability; client-server, web/email protocols.","CSC231"
CAS,CSC446,Introduction to Bioinformatics,3,"Biological data (DNA/RNA/proteins); alignment (local/global/semi-global), search/matching, multiple alignment.","CSC333"
CAS,CSC447,Computational Method in Bioinformatics,3,"Structure comparison/modeling, protein folding/recognition, docking, design.","CSC333"
CAS,CSC448,Introduction to Cyber Security,3,"Cryptography, security management, wireless, policies; frameworks and defense mechanisms.","CSC445"
CAS,CSC450,Fundamentals of Operating Systems,3,"OS concepts: processes, memory mgmt, scheduling, file and resource management.","CSC364"
CAS,CSC454,Deep Learning,3,"DNNs: SGD/backprop, CNNs, kernels, loss/activations, feature hierarchies; classification/recognition/optimization.","CSC333"
CAS,CSC465,Parallel and Distributed Computing,3,"ILP, shared/distributed memory, parallel algorithms and programming interfaces.","CSC364"
CAS,CSC499,Senior Capstone Project,3,"Team project integrating CSC curriculum; demo + professional written/oral presentations.","300-level CSC courses"
CAS,MAT111,Calculus I,3,"Functions, limits, continuity; derivatives & applications; antiderivatives; intro definite integrals.", 
CAS,MAT112,Calculus II,3,"Integration techniques & applications; series and convergence tests; ODEs (separable/linear) apps.","MAT111"
CAS,MAT130,Linear Algebra,3,"Matrices, determinants, linear transformations; geometric interpretations and applications.", 
CAS,MAT202,Discrete Mathematics,3,"Logic, proof, induction, relations, sets, graph theory intro, functions.","MAT112"
CAS,STA210,Applied Probability and Statistics,3,"Combinatorics, probability models, distributions, random variables, inference/tests, regression, CIs.","MAT112"

COP,CHE105,General Chemistry for Healthcare Professions,3,"Core general chemistry (stoichiometry, atomic structure, bonding, equilibria, thermochemistry, gases, solutions) with healthcare applications.", 
COP,CHE105L,General Chemistry for Healthcare Professions Laboratory,1,"Hands-on experiments aligned with CHE105 topics.","CHE105 (Pre-/Co-req)"
COP,CHE211,Organic Chemistry I,3,"Properties, reactions, synthesis by functional groups; aromatic/aliphatic hydrocarbons, alcohols, aldehydes/ketones, carboxylic acids/derivatives; spectroscopy.","CHE105"
COP,CHE211L,Organic Chemistry I Laboratory,1,"Laboratory applications for Organic Chemistry I.","CHE211 (Pre-/Co-req)"
COP,CHE212,Organic Chemistry II,3,"Continuation of Organic Chemistry I with advanced functional groups and reaction mechanisms.","CHE211"
COP,BIO101,Introductory Biology,3,"Fundamentals of biological systems and processes at organismal and cellular levels.", 
COP,BIO211,General Biology I,3,"Cells and macromolecules; membranes, organelles, cytoskeleton; signaling; genetic information flow; evolution.","BIO101"
COP,BIO211L,General Biology I Laboratory,1,"Laboratory applications for General Biology I.","BIO211 (Pre-/Co-req)"
COP,BIO217,Human Anatomy and Physiology,3,"Structure and function of major body systems; homeostasis; clinical case illustrations.","BIO211"
COP,BIO219,Medical Microbiology & Immunology,3,"Characteristics of pathogens (bacteria, fungi, viruses, parasites); transmission, immunity, detection, and control.","BIO211"
